ref,id,name,street,region,source,status,reason,link
c:42,42,Snail Hunting Ground III,Maple Road,Maple Island,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A42
c:50,50,A Split Road,Maple Road,Maple Island,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A50
c:60,60,Southperry,Maple Road,Maple Island,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A60
c:61,61,Southperry Armor Store,Maple Road,Maple Island,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A61
c:1000,1000,The Field West of Amherst,Rainbow Street,Maple Island,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A1000
c:1001,1001,In a Small Forest,Rainbow Street,Maple Island,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A1001
c:1002,1002,Dangerous Forest,Rainbow Street,Maple Island,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A1002
c:1003,1003,Mushroom Garden,Rainbow Street,Maple Island,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A1003
c:1004,1004,Snail Garden,Rainbow Street,Maple Island,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A1004
c:1005,1005,Hunting Ground Middle of the Forest I,Rainbow Street,Maple Island,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A1005
c:1006,1006,Hunting Ground Middle of the Forest II,Rainbow Street,Maple Island,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A1006
c:1010,1010,Amherst,Rainbow Street,Maple Island,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A1010
c:1011,1011,Amherst Weapon Store,Rainbow Street,Maple Island,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A1011
c:1012,1012,Amherst Townstreet,Rainbow Street,Maple Island,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A1012
c:1013,1013,Amherst Department Store,Rainbow Street,Maple Island,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A1013
c:1014,1014,Snail Field of Flowers,Rainbow Street,Maple Island,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A1014
c:1020,1020,The Field East of Amherst,Rainbow Street,Maple Island,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A1020
c:1021,1021,Tomato Field,Rainbow Street,Maple Island,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A1021
c:20000000,20000000,Orbis,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000000
c:20000001,20000001,Orbis Weapon Store,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000001
c:20000002,20000002,Orbis Department Store,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000002
c:20000010,20000010,Orbis Ticketing Booth,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000010
c:20000011,20000011,Station Tunnel <To Ellinia>,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000011
c:20000012,20000012,Station<To Ellinia>,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000012
c:20000013,20000013,Before Takeoff <To Ellinia>,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000013
c:20000020,20000020,To Ellinia,During the Ride,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000020
c:20000021,20000021,Cabin <To Ellinia>,During the Ride,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000021
c:20000022,20000022,To Orbis,During the Ride,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000022
c:20000023,20000023,Cabin <To Orbis>,During the Ride,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000023
c:20000030,20000030,Orbis Park,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000030
c:20000031,20000031,Orbis Plastic Surgery,Orbis Park,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000031
c:20000032,20000032,Orbis Hair Salon,Orbis Park,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000032
c:20000033,20000033,Orbis Skin-Care,Orbis Park,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000033
c:20000040,20000040,Top of the Hill,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000040
c:20000041,20000041,Guild Head Quarters<Hall of Fame>,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000041
c:20000050,20000050,Cloud Park I,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000050
c:20000051,20000051,The Road to Garden of 3 Colors,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000051
c:20000052,20000052,Garden of Red I,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000052
c:20000053,20000053,Garden of Red II,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000053
c:20000054,20000054,Stairway to the Sky I,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000054
c:20000055,20000055,Stairway to the Sky II,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000055
c:20000056,20000056,Garden of Darkness I,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000056
c:20000057,20000057,Garden of Darkness II,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000057
c:20000060,20000060,Garden of Yellow I,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000060
c:20000061,20000061,Garden of Yellow II,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000061
c:20000070,20000070,Garden of Green I,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000070
c:20000071,20000071,Garden of Green II,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000071
c:20000080,20000080,Cloud Park II,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000080
c:20000081,20000081,Strolling Path,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000081
c:20000082,20000082,Cloud Park III,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000082
c:20000083,20000083,Disposed Flower Garden,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000083
c:20000084,20000084,Cloud Park IV,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000084
c:20000085,20000085,Old Man's House,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000085
c:20000086,20000086,Strolling Path II,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000086
c:20000087,20000087,Cloud Park V,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000087
c:20000088,20000088,Cloud Park VI,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000088
c:20000090,20000090,Entrance to Orbis Tower,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000090
c:20000091,20000091,Orbis Tower <15th Floor>,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000091
c:20000092,20000092,Orbis Tower <14th Floor>,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000092
c:20000093,20000093,Orbis Tower <13th Floor>,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000093
c:20000094,20000094,Orbis Tower <12th Floor>,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000094
c:20000095,20000095,Orbis Tower <11th Floor>,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000095
c:20000096,20000096,Orbis Tower <10th Floor>,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000096
c:20000097,20000097,Orbis Tower <9th Floor>,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000097
c:20000098,20000098,Orbis Tower <8th Floor>,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000098
c:20000099,20000099,Orbis Tower <Hidden Room>,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000099
c:20000100,20000100,Orbis Tower <7th Floor>,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000100
c:20000101,20000101,Orbis Tower <6th Floor>,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000101
c:20000102,20000102,Orbis Tower <5th Floor>,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000102
c:20000103,20000103,Orbis Tower <4th Floor>,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000103
c:20000104,20000104,Orbis Tower <3rd Floor>,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000104
c:20000105,20000105,Orbis Tower <2nd Floor>,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000105
c:20000106,20000106,Orbis Tower <1st Floor>,Orbis,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20000106
c:20001000,20001000,El Nath,El Nath,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001000
c:20001001,20001001,Chief's Residence,El Nath,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001001
c:20001010,20001010,El Nath Market,El Nath,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001010
c:20001011,20001011,El Nath Weapon Store,El Nath,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001011
c:20001012,20001012,El Nath Department Store,El Nath,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001012
c:20001020,20001020,Snowy Hill,El Nath,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001020
c:20001030,20001030,Watch Out for Icy Path I,El Nath,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001030
c:20001031,20001031,Watch Out for Icy Path II,El Nath,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001031
c:20001032,20001032,Cold Field I,El Nath,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001032
c:20001033,20001033,Cold Field II,El Nath,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001033
c:20001034,20001034,The Crown-Flyer,Hidden Street,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001034
c:20001035,20001035,Icy Cold Field,El Nath,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001035
c:20001040,20001040,Ice Valley I,El Nath,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001040
c:20001041,20001041,Ice Valley II,El Nath,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001041
c:20001042,20001042,Sharp Cliff I,El Nath,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001042
c:20001043,20001043,Sharp Cliff II,El Nath,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001043
c:20001044,20001044,Holy Ground at the Snowfield,Hidden Street,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001044
c:20001050,20001050,Wolf Territory I,El Nath,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001050
c:20001051,20001051,Wolf Territory II,El Nath,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001051
c:20001052,20001052,Dangerous Cliff,El Nath,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001052
c:20001053,20001053,Wolf Territory III,El Nath,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001053
c:20001054,20001054,Wolf Territory IV,El Nath,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001054
c:20001055,20001055,Wolf Territory V,El Nath,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001055
c:20001060,20001060,Forest of Dead Trees I,El Nath,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001060
c:20001061,20001061,Forest of Dead Trees II,El Nath,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001061
c:20001062,20001062,Forest of Dead Trees III,El Nath,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001062
c:20001063,20001063,Forest of Dead Trees IV,El Nath,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001063
c:20001064,20001064,Dead Mine I,El Nath,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001064
c:20001065,20001065,Dead Mine II,El Nath,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001065
c:20001066,20001066,Dead Mine III,El Nath,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001066
c:20001067,20001067,Dead Mine IV,El Nath,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001067
c:20001070,20001070,The Passage,El Nath,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001070
c:20001071,20001071,The Cave of Trial I,El Nath,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001071
c:20001072,20001072,The Cave of Trial II,El Nath,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001072
c:20001073,20001073,Cave Within the Cave,Hidden Street,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001073
c:20001074,20001074,The Cave of Trial III,El Nath,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001074
c:20001075,20001075,The Door to Zakum,El Nath,Ossyria,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20001075
c:80000000,80000000,1st Accompaniment <1st Stage>,Hidden Street,Other,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A80000000
c:80000100,80000100,1st Accompaniment <2nd Stage>,Hidden Street,Other,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A80000100
c:80000200,80000200,1st Accompaniment <3rd Stage>,Hidden Street,Other,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A80000200
c:80000300,80000300,1st Accompaniment <4th stage>,Hidden Street,Other,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A80000300
c:80000400,80000400,1st Accompaniment <Last Stage>,Hidden Street,Other,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A80000400
c:80000500,80000500,1st Accompaniment <Bonus>,Hidden Street,Other,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A80000500
c:80000600,80000600,1st Accompaniment <Exit>,Hidden Street,Other,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A80000600
c:80001000,80001000,Ant Tunnel For Bowman,Hidden Street,Other,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A80001000
c:80001100,80001100,Magician's Tree Dungeon,Hidden Street,Other,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A80001100
c:80001200,80001200,Thief's Construction Site,Hidden Street,Other,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A80001200
c:80001300,80001300,Warrior's Rocky Mountain,Hidden Street,Other,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A80001300
c:80002000,80002000,Free Market Entrance,Hidden Street,Other,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A80002000
c:80002001,80002001,Free Market <1>,Hidden Street,Other,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A80002001
c:80002002,80002002,Free Market <2>,Hidden Street,Other,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A80002002
c:80002003,80002003,Free Market <3>,Hidden Street,Other,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A80002003
c:80002004,80002004,Free Market <4>,Hidden Street,Other,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A80002004
c:80002005,80002005,Free Market <5>,Hidden Street,Other,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A80002005
c:80002006,80002006,Free Market <6>,Hidden Street,Other,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A80002006
c:80002007,80002007,Free Market <7>,Hidden Street,Other,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A80002007
c:80002008,80002008,Free Market <8>,Hidden Street,Other,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A80002008
c:80002009,80002009,Free Market <9>,Hidden Street,Other,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A80002009
c:80002010,80002010,Free Market <10>,Hidden Street,Other,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A80002010
c:80002011,80002011,Free Market <11>,Hidden Street,Other,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A80002011
c:88000000,88000000,Victoria Road,Yellow Mushroom House,Other,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A88000000
c:89000000,89000000,Truth Booth,Truth Booth,Other,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A89000000
c:80003000,80003000,,,Other,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A80003000
c:80003100,80003100,,,Other,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A80003100
c:80003200,80003200,,,Other,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A80003200
c:80003300,80003300,,,Other,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A80003300
c:80003400,80003400,,,Other,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A80003400
c:80003500,80003500,,,Other,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A80003500
c:10000000,10000000,Lith Harbor,Victoria Road,Victoria Island,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=victoria&map=c%3A10000000
c:10000001,10000001,Lith Harbor Armor Shop,Victoria Road,Victoria Island,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=victoria&map=c%3A10000001
c:10000002,10000002,Lith Harbor Department Store,Victoria Road,Victoria Island,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=victoria&map=c%3A10000002
c:10000003,10000003,Lith Harbor Weapon Shop,Victoria Road,Victoria Island,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=victoria&map=c%3A10000003
c:10000010,10000010,Right Around Lith Harbor,Victoria Road,Victoria Island,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=victoria&map=c%3A10000010
c:10000011,10000011,Thicket Around the Beach I,Victoria Road,Victoria Island,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=victoria&map=c%3A10000011
